analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
AMY1A_AMY1B_AMY1C,,,,False,-0.0461123692923872,,,44,0,True
AMY2A,,,,False,-0.06687560121754235,,,44,0,True
AMY2B,,,,False,0.0016455047595427,,,44,0,True
ANG,,,,False,-0.16330188493010966,,,44,0,True
ANGPT1,,,,False,0.18532719711393908,,,44,0,True
ANGPT2,,,,False,0.24214924182422848,,,44,0,True
ANGPTL1,,,,False,-0.24293895715734098,,,44,0,True
ANGPTL2,,,,False,-0.132846135413548,,,44,0,True
ANGPTL3,,,,False,-0.1309389771018618,,,44,0,True
ANGPTL4,,,,False,-0.17704937638896776,,,44,0,True
ANK2,,,,False,0.055103569903358504,,,44,0,True
ANKMY2,,,,False,-0.809808441146978,,,44,0,True
ANKRA2,,,,False,-0.36563699817789347,,,44,0,True
ANKRD54,,,,False,-0.3270980543017009,,,44,0,True
ANP32C,,,,False,-0.06391952841474724,,,44,0,True
ANPEP,,,,False,-0.05911624231261805,,,44,0,True
ANXA1,,,,False,-0.11046655946969486,,,44,0,True
ANXA10,,,,False,-0.21029878986082406,,,44,0,True
ANXA11,,,,False,-0.08855145014559045,,,44,0,True
ANXA2,,,,False,-0.28535948316390225,,,44,0,True
ANXA3,,,,False,-0.32500655691967073,,,44,0,True
ANXA4,,,,False,-0.21244394910697478,,,44,0,True
ANXA5,,,,False,-0.045250798524746796,,,44,0,True
AOC1,,,,False,-0.1981782483845041,,,44,0,True
AOC3,,,,False,0.1213243454232256,,,44,0,True
AP1G2,,,,False,-0.4015722856107293,,,44,0,True
AP2B1,,,,False,-0.0674940744862924,,,44,0,True
AP3B1,,,,False,-0.3666705176597599,,,44,0,True
AP3S2,,,,False,-0.18547304842769155,,,44,0,True
APBB1IP,,,,False,-0.08756363923710825,,,44,0,True
APCS,,,,False,-0.12887327300891405,,,44,0,True
APEX1,,,,False,-0.2708171244315749,,,44,0,True
APLP1,,,,False,0.20422846877444245,,,44,0,True
APOA1,,,,False,0.021540727723514598,,,44,0,True
APOA2,,,,False,-0.0578625512215419,,,44,0,True
APOA4,,,,False,0.01111991941003555,,,44,0,True
APOB,,,,False,-0.02861833459430295,,,44,0,True
APOBR,,,,False,-0.142544982603742,,,44,0,True
APOC1,,,,False,-0.08757096341221446,,,44,0,True
APOD,,,,False,-0.008636837924579501,,,44,0,True
APOE,,,,False,-0.15257148553450461,,,44,0,True
APOF,,,,False,0.074616434006181,,,44,0,True
APOH,,,,False,0.06694000854312145,,,44,0,True
APOL1,,,,False,-0.31886775734585165,,,44,0,True
APOM,,,,False,0.017303592686159552,,,44,0,True
APP,,,,False,-0.04878967548389075,,,44,0,True
APPL2,,,,False,-0.33017504416064336,,,44,0,True
APRT,,,,False,-0.43406061604154306,,,44,0,True
ARAF,,,,False,-0.4334842258909371,,,44,0,True
AREG,,,,False,-0.0444438673711043,,,44,0,True
ARF6,,,,False,-0.5564809205096013,,,44,0,True
ARFIP1,,,,False,-0.30758114920579477,,,44,0,True
ARG1,,,,False,-0.20493836349569422,,,44,0,True
ARG2,,,,False,-0.20434841586467,,,44,0,True
ARHGAP1,,,,False,-0.2673016157437075,,,44,0,True
ARHGAP25,,,,False,-0.06585155072458196,,,44,0,True
ARHGAP30,,,,False,-0.044798916500388496,,,44,0,True
ARHGAP45,,,,False,-0.2643646412301803,,,44,0,True
ARHGAP5,,,,False,-0.425584257183867,,,44,0,True
ARHGEF1,,,,False,-0.227402902756265,,,44,0,True
ARHGEF10,,,,False,-0.47993662494687706,,,44,0,True
ARHGEF12,,,,False,-0.3134746912650107,,,44,0,True
ARHGEF5,,,,False,-0.02632684590968765,,,44,0,True
ARID3A,,,,False,0.02416411656900425,,,44,0,True
ARID4B,,,,False,-0.0524937346529577,,,44,0,True
ARL2BP,,,,False,-0.23397123793887553,,,44,0,True
ARMCX2,,,,False,-0.2035763855560968,,,44,0,True
ARNT,,,,False,-0.17077170659748386,,,44,0,True
ARSB,,,,False,-0.24830822029721367,,,44,0,True
ART3,,,,False,-0.008970930362897402,,,44,0,True
ART5,,,,False,-0.2790369439608187,,,44,0,True
ARTN,,,,False,-0.39451083900900014,,,44,0,True
ASAH1,,,,False,-0.4302267959762381,,,44,0,True
ASAH2,,,,False,-0.00462591485750425,,,44,0,True
ASGR1,,,,False,-0.22994768685417194,,,44,0,True
ASGR2,,,,False,-0.0935668606279487,,,44,0,True
ASPN,,,,False,0.04545167837540595,,,44,0,True
ASPSCR1,,,,False,-0.34617135274273164,,,44,0,True
ASRGL1,,,,False,-0.41327749112673157,,,44,0,True
ASS1,,,,False,0.03548537588294705,,,44,0,True
ATF2,,,,False,-0.0171456661234083,,,44,0,True
ATF4,,,,False,-0.12864755043211185,,,44,0,True
ATG16L1,,,,False,-0.40247650134340746,,,44,0,True
ATG4A,,,,False,-0.5000560775590297,,,44,0,True
ATOX1,,,,False,-0.30498219010035377,,,44,0,True
ATP1B1,,,,False,-0.035570855954139446,,,44,0,True
ATP1B2,,,,False,0.0193438161604329,,,44,0,True
ATP1B3,,,,False,-0.0313314993360098,,,44,0,True
ATP1B4,,,,False,-0.10959522142960874,,,44,0,True
ATP2B4,,,,False,-0.1277268432875009,,,44,0,True
ATP5F1D,,,,False,-0.14196739864798436,,,44,0,True
ATP5IF1,,,,False,-0.4928187325403244,,,44,0,True
ATP5PO,,,,False,0.0055157697359670506,,,44,0,True
ATP6AP2,,,,False,-0.044828824234351104,,,44,0,True
ATP6V1D,,,,False,-0.0265174587239088,,,44,0,True
ATP6V1F,,,,False,-0.1848261055056845,,,44,0,True
ATP6V1G1,,,,False,-0.30693820591006243,,,44,0,True
ATRAID,,,,False,-0.13352233633803928,,,44,0,True
ATRN,,,,False,-0.011063408555662149,,,44,0,True
ATXN10,,,,False,-0.567011396087167,,,44,0,True
ATXN2,,,,False,-0.1060530469917921,,,44,0,True
ATXN2L,,,,False,-0.1159410702270314,,,44,0,True
ATXN3,,,,False,-0.4512736912632871,,,44,0,True
AXIN1,,,,False,-0.4256129404381741,,,44,0,True
AXL,,,,False,-0.013779757957468702,,,44,0,True
AZI2,,,,False,-0.2320808239687847,,,44,0,True
AZU1,,,,False,0.0023155033907706997,,,44,0,True
B2M,,,,False,-0.20268373792917285,,,44,0,True
B3GNT7,,,,False,0.0904181179812341,,,44,0,True
B4GALT1,,,,False,-0.17000027491944408,,,44,0,True
B4GAT1,,,,False,-0.01520384311871875,,,44,0,True
BABAM1,,,,False,-0.0640573464759676,,,44,0,True
BACH1,,,,False,-0.22248669632131374,,,44,0,True
BAG3,,,,False,0.0342194884181046,,,44,0,True
BAG4,,,,False,-0.1864533308448492,,,44,0,True
BAG6,,,,False,-0.2229357215980765,,,44,0,True
BAIAP2,,,,False,-0.2719483484094689,,,44,0,True
BAMBI,,,,False,-0.0574612357781486,,,44,0,True
BANK1,,,,False,-0.00764889086223675,,,44,0,True
BAP18,,,,False,-0.1918019100651116,,,44,0,True
BATF,,,,False,0.061560456046036854,,,44,0,True
BAX,,,,False,-0.4476890439266802,,,44,0,True
BCAM,,,,False,-0.076874556765458,,,44,0,True
BCAN,,,,False,0.009030395579611699,,,44,0,True
