analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
NID2,2_minus_1,372.0,0.009674503529771172,0.03925562239169398,False,0.19296627907867864,0.0,50,False
DUSP13,2_minus_1,373.0,0.009964281765361349,0.04031525495870339,True,-0.1695174187261993,-1.4986114245725948,50,False
GALNT2,2_minus_1,373.0,0.009964281765361349,0.04031525495870339,False,0.10019317654968075,0.0,50,False
APOC1,2_minus_1,374.0,0.010261609457190346,0.04128098890206859,True,0.16326664248109354,34.53687475030712,50,False
SIGLEC15,2_minus_1,374.0,0.010261609457190346,0.04128098890206859,True,-0.14463640177024648,-36.48912409321044,50,False
ITIH4,2_minus_1,374.0,0.010261609457190346,0.04128098890206859,True,0.11248478094679419,34.24379451430983,50,False
DSG2,2_minus_1,374.0,0.010261609457190346,0.04128098890206859,True,-0.15217605847806084,-35.97845511754462,50,False
GCNT1,2_minus_1,375.0,0.010566648384996213,0.04244747767781646,False,0.11774398540132736,0.0,50,False
THBS2,2_minus_1,220.0,0.010654021698908611,0.042737500148328555,False,0.045538934092708566,0.0,50,False
KEL,2_minus_1,376.0,0.010879562807692977,0.04345652321484173,True,-0.16054815802855876,-35.04638833343373,50,False
TGOLN2,2_minus_1,376.0,0.010879562807692977,0.04345652321484173,True,0.049926417927498856,27.3644773455066,50,False
SFRP4,2_minus_1,376.0,0.010879562807692977,0.04345652321484173,True,0.18999822310315356,36.23323518971125,50,False
TXNDC15,2_minus_1,377.0,0.011200519477185367,0.04442346879965351,False,0.06795670813541015,0.0,50,False
TCN2,2_minus_1,377.0,0.011200519477185367,0.04442346879965351,True,0.10385975237786615,32.91786794140494,50,False
GM2A,2_minus_1,377.0,0.011200519477185367,0.04442346879965351,False,0.057418853668350645,0.0,50,False
CEP164,2_minus_1,377.0,0.011200519477185367,0.04442346879965351,True,-0.1872424824974404,-35.82800698129791,50,False
KLK14,2_minus_1,377.0,0.011200519477185367,0.04442346879965351,True,-0.16725691356452893,-1.4278318877361431,50,False
HNMT,2_minus_1,378.0,0.011529687649083797,0.04540923135639157,True,0.13105524242322675,33.95103040938151,50,False
ART3,2_minus_1,378.0,0.011529687649083797,0.04540923135639157,True,-0.1364836223881059,-34.238188605353,50,False
USP28,2_minus_1,378.0,0.011529687649083797,0.04540923135639157,False,-0.08758550535621093,0.0,50,False
ADAMTS15,2_minus_1,378.0,0.011529687649083797,0.04540923135639157,True,-0.12234185806036885,-1.0198957800710695,50,False
PRR5,2_minus_1,378.0,0.011529687649083797,0.04540923135639157,False,-0.2611264394205325,0.0,50,False
SIGLEC5,2_minus_1,379.0,0.01186723909238907,0.04654337783310254,False,0.15521003870839784,0.0,50,False
CFB,2_minus_1,379.0,0.01186723909238907,0.04654337783310254,True,0.07192042668353374,34.54313127286293,50,False
LYVE1,2_minus_1,379.0,0.01186723909238907,0.04654337783310254,True,0.1474245513905659,35.8646102227694,50,False
MICB_MICA,2_minus_1,380.0,0.012213348101271393,0.0477015093664081,False,-0.09661545346690467,0.0,50,False
TNFRSF8,2_minus_1,380.0,0.012213348101271393,0.0477015093664081,True,-0.16367905924821885,-1.6000643704881583,50,False
CD300LF,2_minus_1,380.0,0.012213348101271393,0.0477015093664081,False,0.12121626062690202,0.0,50,False
CD300LG,2_minus_1,378.5,0.012411839716375014,0.04840961307660947,True,0.09817864310701263,35.35334856771326,50,False
CWC15,2_minus_1,381.0,0.012568191503659065,0.048884015572243,False,-0.08085308397398809,0.0,50,False
ZHX2,2_minus_1,381.0,0.012568191503659065,0.048884015572243,True,-0.12024650864449093,-32.97606672115489,50,False
PCDH12,2_minus_1,382.0,0.012931948668784443,0.04995386481659396,True,-0.1803651814687346,-36.48846659352219,50,False
PADI2,2_minus_1,382.0,0.012931948668784443,0.04995386481659396,True,-0.3434706687918637,-36.33106513506018,50,False
SIT1,2_minus_1,382.0,0.012931948668784443,0.04995386481659396,True,-0.210847134191877,-35.57151467827471,50,False
LCAT,2_minus_1,382.0,0.012931948668784443,0.04995386481659396,False,0.07685673081267966,0.0,50,False
APOM,2_minus_1,382.0,0.012931948668784443,0.04995386481659396,True,0.15401126596378104,35.83877747690771,50,False
CLEC12A,2_minus_1,383.0,0.01330480151673541,0.05125351719716404,False,-0.18499895532999117,-34.55640330581019,50,False
NFIC,2_minus_1,383.0,0.01330480151673541,0.05125351719716404,False,-0.23516584411556435,-34.86319933524269,50,False
FCGR2A,2_minus_1,364.0,0.01343960842408138,0.05170210016695788,False,-0.11526339111278475,-33.35126930566417,50,False
GFRA1,2_minus_1,384.0,0.013686934524772099,0.05258172936119813,False,-0.09910422458067156,-32.75749025865819,50,False
PRSS53,2_minus_1,385.0,0.01407853473248366,0.05393898477098502,False,-0.04758872064065087,0.0,50,False
COL6A3,2_minus_1,385.0,0.01407853473248366,0.05393898477098502,False,0.1281725389691774,0.0,50,False
OXCT1,2_minus_1,386.0,0.014479791748943427,0.05532577145864951,False,-0.209069524874363,-36.65926104161304,50,False
RETN,2_minus_1,386.0,0.014479791748943427,0.05532577145864951,False,0.09008883017080228,34.19349950943912,50,False
GIMAP7,2_minus_1,387.0,0.014890897756602683,0.05681946894660319,False,-0.11627968664764914,-36.01335542230918,50,False
IL24,2_minus_1,388.0,0.01531204751384152,0.05803327832971429,False,0.17553701263152272,0.0,50,False
APOF,2_minus_1,388.0,0.01531204751384152,0.05803327832971429,False,0.07063337687662101,34.88394466994673,50,False
CDKL5,2_minus_1,388.0,0.01531204751384152,0.05803327832971429,False,-0.17578004917642376,0.0,50,False
CFHR5,2_minus_1,388.0,0.01531204751384152,0.05803327832971429,False,0.09033203312646182,35.749167731399886,50,False
F9,2_minus_1,388.0,0.01531204751384152,0.05803327832971429,False,0.1055378526520385,34.99074752177555,50,False
SPRING1,2_minus_1,303.0,0.015470221820568565,0.05855395785849607,False,-0.06693582089991085,0.0,50,False
FCN2,2_minus_1,389.0,0.01574343835962111,0.05926941500092653,False,0.12832601793949255,35.12039512282239,50,False
CCL26,2_minus_1,389.0,0.01574343835962111,0.05926941500092653,False,-0.1720004131097389,-35.4283460464442,50,False
PTPRH,2_minus_1,389.0,0.01574343835962111,0.05926941500092653,False,-0.08849650843338985,0.0,50,False
IGFBP2,2_minus_1,389.0,0.01574343835962111,0.05926941500092653,False,-0.16713795418277363,0.0,50,False
RAB39B,2_minus_1,390.0,0.016185270214664982,0.06068937539879706,False,-0.24093578397185328,-36.24483062218812,50,False
ADA2,2_minus_1,390.0,0.016185270214664982,0.06068937539879706,False,-0.10172018955817413,0.0,50,False
IL31,2_minus_1,390.0,0.016185270214664982,0.06068937539879706,False,-0.26975517858254605,-35.62371934507491,50,False
TGFBR2,2_minus_1,391.0,0.016637745581261854,0.06197340153020288,False,0.05595425331764087,0.0,50,False
ITGB7,2_minus_1,391.0,0.016637745581261854,0.06197340153020288,False,-0.093109504175274,-1.776578595740294,50,False
ADRA2A,2_minus_1,391.0,0.016637745581261854,0.06197340153020288,False,-0.34097594735427256,0.0,50,False
ATOX1,2_minus_1,391.0,0.016637745581261854,0.06197340153020288,False,0.11408430351003182,0.0,50,False
CCL3,2_minus_1,391.0,0.016637745581261854,0.06197340153020288,False,0.20164705381818293,35.11699298797871,50,False
MYBPC1,2_minus_1,392.0,0.017101069545240932,0.06328069886911755,False,0.1563898512480805,0.0,50,False
AGR3,2_minus_1,392.0,0.017101069545240932,0.06328069886911755,False,0.48455323939397005,0.0,50,False
IL18BP,2_minus_1,392.0,0.017101069545240932,0.06328069886911755,False,0.14262801570514494,0.0,50,False
IL17D,2_minus_1,392.0,0.017101069545240932,0.06328069886911755,False,-0.1536821307650458,-35.894986970110715,50,False
KRT8,2_minus_1,392.0,0.017101069545240932,0.06328069886911755,False,0.35140417575557414,0.0,50,False
KIRREL2,2_minus_1,393.0,0.017575449774248852,0.06486561803969171,False,-0.11414470957402456,-2.3746842997487305,50,False
ACTN2,2_minus_1,393.0,0.017575449774248852,0.06486561803969171,False,-0.21998206491010477,0.0,50,False
ITGB2,2_minus_1,394.0,0.01806109651468013,0.06613790349198861,False,-0.07950695077633577,-34.76106474680884,50,False
HIF1A,2_minus_1,394.0,0.01806109651468013,0.06613790349198861,False,-0.19354540137926549,-34.73596834206461,50,False
TRIM40,2_minus_1,394.0,0.01806109651468013,0.06613790349198861,False,-0.41633879725676326,-38.24566214111896,50,False
HADH,2_minus_1,394.0,0.01806109651468013,0.06613790349198861,False,-0.29915414705849414,-31.782615685592887,50,False
SCRG1,2_minus_1,394.0,0.01806109651468013,0.06613790349198861,False,0.17865779682697316,0.0,50,False
DDAH1,2_minus_1,394.0,0.01806109651468013,0.06613790349198861,False,0.143162338008007,0.0,50,False
PROC,2_minus_1,395.0,0.01855822259070905,0.06787007118887882,False,0.10724189244535914,35.96260415338241,50,False
MORN4,2_minus_1,309.0,0.018599882713975564,0.06793420197477976,False,-0.2774501756082391,0.0,50,False
ADD1,2_minus_1,396.0,0.019067043399514816,0.06928102479101125,False,-0.21155298475113823,-33.69291847443739,50,False
BATF,2_minus_1,396.0,0.019067043399514816,0.06928102479101125,False,-0.2834509422405429,-2.9518020253362,50,False
CSPG4,2_minus_1,396.0,0.019067043399514816,0.06928102479101125,False,0.08807753514400465,0.0,50,False
CLEC10A,2_minus_1,396.0,0.019067043399514816,0.06928102479101125,False,-0.0737297307127895,-0.9286219654495862,50,False
STAU1,2_minus_1,310.0,0.019172135437053563,0.06957311003961705,False,-0.21648781703585163,0.0,50,False
FCAR,2_minus_1,397.0,0.01958777690517799,0.07080767620665111,False,-0.10329123384539537,-35.08001130227658,50,False
CA3,2_minus_1,397.0,0.01958777690517799,0.07080767620665111,False,-0.19029719965669967,-33.009995382798735,50,False
ART5,2_minus_1,397.0,0.01958777690517799,0.07080767620665111,False,-0.3155037138441719,-36.829477191685264,50,False
IL17C,2_minus_1,398.0,0.020120643634562896,0.07264068266016553,False,0.24026058946806128,0.0,50,False
SERPINI1,2_minus_1,399.0,0.020665866669398625,0.07394546447398542,False,0.11080233098373131,0.0,50,False
