analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
A1BG,5_minus_4,,,,False,0.09873883595350935,,4,True
AAMDC,5_minus_4,,,,False,-0.061228773395345555,,4,True
AARSD1,5_minus_4,,,,False,0.11393888070181657,,4,True
ABCA2,5_minus_4,,,,False,0.6365156944942395,,4,True
ABHD14B,5_minus_4,,,,False,0.2705091439379067,,4,True
ABL1,5_minus_4,,,,False,-0.40808894792038036,,4,True
ABO,5_minus_4,,,,False,-0.008701508797600871,,4,True
ABRAXAS2,5_minus_4,,,,False,0.9297173492781685,,4,True
ACAA1,5_minus_4,,,,False,0.17392209017080867,,4,True
ACADM,5_minus_4,,,,False,-0.2115497201695719,,4,True
ACADSB,5_minus_4,,,,False,0.022351880815147038,,4,True
ACAN,5_minus_4,,,,False,-0.2071610627933769,,4,True
ACE,5_minus_4,,,,False,0.2324830250373202,,4,True
ACE2,5_minus_4,,,,False,-0.014834760856435807,,4,True
ACHE,5_minus_4,,,,False,0.04970609311029682,,4,True
ACOT13,5_minus_4,,,,False,-0.4712391160547377,,4,True
ACOX1,5_minus_4,,,,False,-0.2940335127850423,,4,True
ACP1,5_minus_4,,,,False,0.989009721880877,,4,True
ACP5,5_minus_4,,,,False,0.09639844862471228,,4,True
ACP6,5_minus_4,,,,False,-0.2400820863093483,,4,True
ACRBP,5_minus_4,,,,False,0.27040973744702224,,4,True
ACRV1,5_minus_4,,,,False,0.1494315839741095,,4,True
ACTA2,5_minus_4,,,,False,0.7594505147432644,,4,True
ACTN2,5_minus_4,,,,False,1.180250810144629,,4,True
ACTN4,5_minus_4,,,,False,0.5188172441119802,,4,True
ACVRL1,5_minus_4,,,,False,-0.05507220334503611,,4,True
ACY1,5_minus_4,,,,False,-0.05785421070553749,,4,True
ACY3,5_minus_4,,,,False,-0.3004123315724571,,4,True
ACYP1,5_minus_4,,,,False,0.42523703984582023,,4,True
ADA,5_minus_4,,,,False,0.18844683551949631,,4,True
ADA2,5_minus_4,,,,False,-0.0198445004769099,,4,True
ADAM12,5_minus_4,,,,False,-0.04501060641931815,,4,True
ADAM15,5_minus_4,,,,False,-0.10053787585350729,,4,True
ADAM22,5_minus_4,,,,False,0.4575704971634703,,4,True
ADAM23,5_minus_4,,,,False,-0.13504911655166485,,4,True
ADAM8,5_minus_4,,,,False,0.01071694839998135,,4,True
ADAM9,5_minus_4,,,,False,0.0548232049154711,,4,True
ADAMTS1,5_minus_4,,,,False,0.48254334958435885,,4,True
ADAMTS13,5_minus_4,,,,False,0.1776205714093213,,4,True
ADAMTS15,5_minus_4,,,,False,0.11528667673751569,,4,True
ADAMTS4,5_minus_4,,,,False,0.1810436247762064,,4,True
ADAMTS8,5_minus_4,,,,False,0.18790142336832416,,4,True
ADAMTSL2,5_minus_4,,,,False,-0.19847840668911054,,4,True
ADAMTSL4,5_minus_4,,,,False,-0.2734195893763764,,4,True
ADAMTSL5,5_minus_4,,,,False,-0.3305831610570068,,4,True
ADCYAP1R1,5_minus_4,,,,False,-0.2467478528305981,,4,True
ADD1,5_minus_4,,,,False,0.03406087390675827,,4,True
ADGRB3,5_minus_4,,,,False,0.0017642314402137593,,4,True
ADGRD1,5_minus_4,,,,False,0.11109416318795162,,4,True
ADGRE1,5_minus_4,,,,False,-0.069821385680949,,4,True
ADGRE2,5_minus_4,,,,False,-0.22396569324573784,,4,True
ADGRE5,5_minus_4,,,,False,-0.15865900137094593,,4,True
ADGRF5,5_minus_4,,,,False,0.179600817860264,,4,True
ADGRG1,5_minus_4,,,,False,0.029148447336631522,,4,True
ADGRG2,5_minus_4,,,,False,0.014905707798213784,,4,True
ADGRV1,5_minus_4,,,,False,0.9707592455306512,,4,True
ADH1B,5_minus_4,,,,False,0.39044372754301326,,4,True
ADH4,5_minus_4,,,,False,0.25067034237067554,,4,True
ADM,5_minus_4,,,,False,-0.054731691482922395,,4,True
ADRA2A,5_minus_4,,,,False,-0.06967781888494749,,4,True
AFAP1,5_minus_4,,,,False,-0.39965913434383527,,4,True
AFM,5_minus_4,,,,False,-0.053424028131526094,,4,True
AFP,5_minus_4,,,,False,-0.09989737919265657,,4,True
AGER,5_minus_4,,,,False,0.09209793579057425,,4,True
AGR2,5_minus_4,,,,False,-0.16896485276763906,,4,True
AGR3,5_minus_4,,,,False,-0.054135426654567054,,4,True
AGRN,5_minus_4,,,,False,0.059281933792550104,,4,True
AGRP,5_minus_4,,,,False,0.19716463591183775,,4,True
AGT,5_minus_4,,,,False,-0.016054549980127245,,4,True
AGXT,5_minus_4,,,,False,-0.07777972426486757,,4,True
AHCY,5_minus_4,,,,False,0.46003975337502023,,4,True
AHNAK,5_minus_4,,,,False,-0.014013277828109044,,4,True
