| independent_var                                                                     | dependent_var                                               |          rho |    p_value |   sample_size_N |      FDR |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0           | 1          |              58 | 1        |
| Early Second Trimester_heart_rate_-_zone:_peak_-_min                                | placental_infarction                                        | -0.201764    | 0.128812   |              58 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.146378    | 0.27289    |              58 | 0.966043 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.178027    | 0.18122    |              58 | 0.966043 |
|                                                                                     | chorangiosis                                                | -0.163693    | 0.219518   |              58 | 0.966043 |
|                                                                                     | gest_age_del                                                | -0.113619    | 0.395764   |              58 | 0.978627 |
|                                                                                     | birthweight                                                 | -0.136656    | 0.306358   |              58 | 0.978627 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.134368    | 0.314604   |              58 | 0.978627 |
|                                                                                     | nicu_days                                                   |  0.106717    | 0.425264   |              58 | 0.980905 |
|                                                                                     | apgar_1                                                     | -0.0992179   | 0.458691   |              58 | 0.985733 |
|                                                                                     | apgar_5                                                     |  0.0151504   | 0.910128   |              58 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              | -0.052636    | 0.694756   |              58 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   | -0.052636    | 0.694756   |              58 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.0672546   | 0.615939   |              58 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0225783   | 0.866403   |              58 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.024796    | 0.853419   |              58 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.0508012   | 0.704901   |              58 | 0.999923 |
| Early Second Trimester_heart_rate_-_zone:_peak_-_minutes                            | birthweight                                                 | -0.165905    | 0.213267   |              58 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.246305    | 0.0623508  |              58 | 0.966043 |
|                                                                                     | delayed_villous_maturation                                  | -0.146959    | 0.27097    |              58 | 0.966043 |
|                                                                                     | chorangiosis                                                | -0.146959    | 0.27097    |              58 | 0.966043 |
|                                                                                     | placental_infarction                                        | -0.103       | 0.441656   |              58 | 0.980905 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.103       | 0.441656   |              58 | 0.980905 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.103       | 0.441656   |              58 | 0.980905 |
|                                                                                     | gest_age_del                                                |  0.019272    | 0.885825   |              58 | 0.999923 |
|                                                                                     | apgar_1                                                     | -0.0534474   | 0.690286   |              58 | 0.999923 |
|                                                                                     | apgar_5                                                     | -0.0387755   | 0.772593   |              58 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.0454955   | 0.734522   |              58 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.0232625   | 0.862393   |              58 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.0369412   | 0.783082   |              58 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0369412   | 0.783082   |              58 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0189501   | 0.887719   |              58 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.0255581   | 0.848966   |              58 | 0.999923 |
| Early Second Trimester_sleep_-_summary_-_stages_-_deep                              | apgar_1                                                     |  0.238203    | 0.0890327  |              52 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.242623    | 0.083087   |              52 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.360883    | 0.00858071 |              52 | 0.966043 |
|                                                                                     | chorangiosis                                                | -0.163275    | 0.247454   |              52 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              |  0.110523    | 0.435385   |              52 | 0.980905 |
|                                                                                     | gest_age_del                                                |  0.0727157   | 0.608446   |              52 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.0919439   | 0.516807   |              52 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0761074   | 0.591782   |              52 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.0447299   | 0.752861   |              52 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0266519   | 0.851229   |              52 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0533037   | 0.707436   |              52 | 0.999923 |
|                                                                                     | birthweight                                                 | -0.00520878  | 0.970766   |              52 | 0.999998 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.013995    | 0.921558   |              52 | 0.999998 |
|                                                                                     | delayed_villous_maturation                                  | -0.00466501  | 0.973816   |              52 | 0.999998 |
| Early Second Trimester_sleep_-_summary_-_stages_-_light                             | gest_age_del                                                | -0.203441    | 0.148022   |              52 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.182491    | 0.195363   |              52 | 0.966043 |
|                                                                                     | increased_syncytial_knots                                   | -0.174144    | 0.216941   |              52 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.191265    | 0.174374   |              52 | 0.966043 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.253193    | 0.070133   |              52 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.228585    | 0.103113   |              52 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.13413     | 0.343125   |              52 | 0.978627 |
|                                                                                     | apgar_5                                                     |  0.128897    | 0.362453   |              52 | 0.978627 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.146943    | 0.298562   |              52 | 0.978627 |
|                                                                                     | birthweight                                                 | -0.0709589   | 0.617157   |              52 | 0.999923 |
|                                                                                     | nicu_days                                                   |  0.0271947   | 0.848234   |              52 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.0812799   | 0.566768   |              52 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0793052   | 0.576259   |              52 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.0866186   | 0.541477   |              52 | 0.999923 |
| Early Second Trimester_sleep_-_summary_-_stages_-_rem                               | apgar_5                                                     |  0.209344    | 0.136365   |              52 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.181935    | 0.19675    |              52 | 0.966043 |
|                                                                                     | delayed_villous_maturation                                  |  0.209925    | 0.135255   |              52 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.247216    | 0.0772444  |              52 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.143908    | 0.308762   |              52 | 0.978627 |
|                                                                                     | nicu_days                                                   |  0.131182    | 0.353934   |              52 | 0.978627 |
|                                                                                     | increased_syncytial_knots                                   | -0.148345    | 0.293927   |              52 | 0.978627 |
|                                                                                     | accelerated_villous_maturation                              | -0.105382    | 0.457166   |              52 | 0.984222 |
|                                                                                     | gest_age_del                                                | -0.0328738   | 0.817038   |              52 | 0.999923 |
|                                                                                     | birthweight                                                 |  0.084237    | 0.552691   |              52 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0877823   | 0.536038   |              52 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.0599667   | 0.67281    |              52 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0266519   | 0.851229   |              52 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0699751   | 0.622057   |              52 | 0.999923 |
| Early Second Trimester_sleep_-_summary_-_stages_-_wake                              | gest_age_del                                                | -0.162834    | 0.248753   |              52 | 0.966043 |
|                                                                                     | nicu_days                                                   | -0.229606    | 0.101543   |              52 | 0.966043 |
|                                                                                     | increased_syncytial_knots                                   | -0.163828    | 0.245836   |              52 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.153949    | 0.275861   |              52 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.151651    | 0.283178   |              52 | 0.972644 |
|                                                                                     | birthweight                                                 | -0.134321    | 0.342433   |              52 | 0.978627 |
|                                                                                     | apgar_5                                                     |  0.123264    | 0.383979   |              52 | 0.978627 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.118943    | 0.400992   |              52 | 0.978773 |
|                                                                                     | delayed_villous_maturation                                  | -0.107298    | 0.448981   |              52 | 0.980905 |
|                                                                                     | chorangiosis                                                |  0.107298    | 0.448981   |              52 | 0.980905 |
|                                                                                     | apgar_1                                                     |  0.0950432   | 0.502714   |              52 | 0.999698 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0585228   | 0.68026    |              52 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.059968    | 0.672803   |              52 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.059968    | 0.672803   |              52 | 0.999923 |
| Early Second Trimester_sleep_-_summary_-_total_minutes_asleep                       | birthweight                                                 |  0.181923    | 0.196781   |              52 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.176759    | 0.210009   |              52 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.200595    | 0.1539     |              52 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.283444    | 0.041728   |              52 | 0.966043 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.213215    | 0.129103   |              52 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.219255    | 0.118357   |              52 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.142917    | 0.312143   |              52 | 0.978627 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.119933    | 0.397056   |              52 | 0.978627 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.113792    | 0.421841   |              52 | 0.980905 |
|                                                                                     | gest_age_del                                                |  0.101445    | 0.47424    |              52 | 0.987746 |
|                                                                                     | increased_syncytial_knots                                   | -0.0993266   | 0.483566   |              52 | 0.993907 |
|                                                                                     | nicu_days                                                   |  0.0435115   | 0.759389   |              52 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              | -0.0822494   | 0.562134   |              52 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0513151   | 0.717889   |              52 | 0.999923 |
| Early Second Trimester_sleep_-_summary_-_total_sleep_records                        | gest_age_del                                                |  0.169601    | 0.229359   |              52 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.211836    | 0.131655   |              52 | 0.966043 |
|                                                                                     | apgar_5                                                     | -0.175383    | 0.213637   |              52 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.159441    | 0.258881   |              52 | 0.966043 |
|                                                                                     | delayed_villous_maturation                                  | -0.214769    | 0.12627    |              52 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.14277     | 0.312645   |              52 | 0.978627 |
|                                                                                     | apgar_1                                                     | -0.1041      | 0.462688   |              52 | 0.987233 |
|                                                                                     | increased_syncytial_knots                                   | -0.103282    | 0.46623    |              52 | 0.987746 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.0966935   | 0.495291   |              52 | 0.999698 |
|                                                                                     | nicu_days                                                   | -0.0324664   | 0.819267   |              52 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0606957   | 0.669061   |              52 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0420201   | 0.767401   |              52 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.00850947  | 0.952258   |              52 | 0.999998 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.00666852  | 0.962578   |              52 | 0.999998 |
| Early Second Trimester_sleep_-_summary_-_total_time_in_bed                          | apgar_1                                                     |  0.178883    | 0.204494   |              52 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.188564    | 0.180652   |              52 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.191265    | 0.174374   |              52 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.277252    | 0.0466033  |              52 | 0.966043 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.193226    | 0.169916   |              52 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.219255    | 0.118357   |              52 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.145675    | 0.302798   |              52 | 0.978627 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.113792    | 0.421841   |              52 | 0.980905 |
|                                                                                     | gest_age_del                                                |  0.0696393   | 0.623734   |              52 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              | -0.043695    | 0.758404   |              52 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   | -0.0657877   | 0.643098   |              52 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.0799556   | 0.573125   |              52 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.00984188  | 0.944793   |              52 | 0.999998 |
|                                                                                     | delayed_villous_maturation                                  |  0.013995    | 0.921558   |              52 | 0.999998 |
| Early Second Trimester_sleep_summary_total_minutes_asleep                           | birthweight                                                 |  0.181923    | 0.196781   |              52 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.176759    | 0.210009   |              52 | 0.966043 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.200595    | 0.1539     |              52 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.283444    | 0.041728   |              52 | 0.966043 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.213215    | 0.129103   |              52 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.219255    | 0.118357   |              52 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.142917    | 0.312143   |              52 | 0.978627 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.119933    | 0.397056   |              52 | 0.978627 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.113792    | 0.421841   |              52 | 0.980905 |
|                                                                                     | gest_age_del                                                |  0.101445    | 0.47424    |              52 | 0.987746 |
|                                                                                     | increased_syncytial_knots                                   | -0.0993266   | 0.483566   |              52 | 0.993907 |
|                                                                                     | nicu_days                                                   |  0.0435115   | 0.759389   |              52 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              | -0.0822494   | 0.562134   |              52 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0513151   | 0.717889   |              52 | 0.999923 |
| First Trimester_activities_-_goals_-_activeminutes                                  | accelerated_villous_maturation                              |  0.148507    | 0.219845   |              70 | 0.966043 |
|                                                                                     | increased_syncytial_knots                                   |  0.144219    | 0.233601   |              70 | 0.966043 |
|                                                                                     | apgar_5                                                     | -0.0929634   | 0.444008   |              70 | 0.980905 |
|                                                                                     | gest_age_del                                                | -0.0662223   | 0.585975   |              70 | 0.999923 |
|                                                                                     | birthweight                                                 |  0.0236445   | 0.845949   |              70 | 0.999923 |
|                                                                                     | apgar_1                                                     | -0.0763631   | 0.529798   |              70 | 0.999923 |
|                                                                                     | nicu_days                                                   |  0.0656628   | 0.589152   |              70 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0206438   | 0.865304   |              70 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0658675   | 0.587988   |              70 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0206438   | 0.865304   |              70 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0206438   | 0.865304   |              70 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0362859   | 0.765534   |              70 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0362859   | 0.765534   |              70 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0362782   | 0.765583   |              70 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0206438   | 0.865304   |              70 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0294087   | 0.809034   |              70 | 0.999923 |
| First Trimester_activities_-_goals_-_caloriesout                                    | distal_villous_hypoplasia_focal/diffuse                     | -0.215494    | 0.0731971  |              70 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.096457    | 0.426997   |              70 | 0.980905 |
|                                                                                     | birthweight                                                 |  0.0813462   | 0.50321    |              70 | 0.999698 |
|                                                                                     | apgar_5                                                     | -0.0805825   | 0.50724    |              70 | 0.999698 |
|                                                                                     | gest_age_del                                                | -0.0341767   | 0.778805   |              70 | 0.999923 |
|                                                                                     | apgar_1                                                     | -0.0187663   | 0.877455   |              70 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.0434763   | 0.720816   |              70 | 0.999923 |
|                                                                                     | placental_infarction                                        | -0.0327762   | 0.787653   |              70 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   | -0.0724972   | 0.550895   |              70 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0506541   | 0.677088   |              70 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0610897   | 0.6154     |              70 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0268169   | 0.825586   |              70 | 0.999923 |
|                                                                                     | chorangiosis                                                | -0.0679158   | 0.576408   |              70 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.00595931  | 0.96095    |              70 | 0.999998 |
|                                                                                     | delayed_villous_maturation                                  | -0.00523738  | 0.965677   |              70 | 0.999998 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.00872896  | 0.942826   |              70 | 0.999998 |
| First Trimester_activities_-_goals_-_distance                                       | apgar_1                                                     | -0.207171    | 0.0852811  |              70 | 0.966043 |
|                                                                                     | apgar_5                                                     | -0.180392    | 0.135076   |              70 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              |  0.0919404   | 0.44906    |              70 | 0.980905 |
|                                                                                     | increased_syncytial_knots                                   |  0.0827147   | 0.496031   |              70 | 0.999698 |
|                                                                                     | gest_age_del                                                |  0.0471976   | 0.698024   |              70 | 0.999923 |
|                                                                                     | birthweight                                                 | -0.0389235   | 0.749033   |              70 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0400586   | 0.741965   |              70 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.0142015   | 0.90711    |              70 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0400586   | 0.741965   |              70 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0400586   | 0.741965   |              70 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0704115   | 0.562443   |              70 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0704115   | 0.562443   |              70 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0703965   | 0.562526   |              70 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0400586   | 0.741965   |              70 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0570665   | 0.638899   |              70 | 0.999923 |
|                                                                                     | nicu_days                                                   | -0.00756985  | 0.950408   |              70 | 0.999998 |
| First Trimester_activities_-_goals_-_steps                                          | gest_age_del                                                |  0.165562    | 0.170774   |              70 | 0.966043 |
|                                                                                     | placental_infarction                                        | -0.305818    | 0.010036   |              70 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.148921    | 0.218545   |              70 | 0.966043 |
|                                                                                     | increased_syncytial_knots                                   | -0.157543    | 0.192741   |              70 | 0.966043 |
|                                                                                     | chorangiosis                                                |  0.247991    | 0.038458   |              70 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.112832    | 0.352371   |              70 | 0.978627 |
|                                                                                     | apgar_1                                                     | -0.0607137   | 0.61758    |              70 | 0.999923 |
|                                                                                     | apgar_5                                                     |  0.0272405   | 0.822875   |              70 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.0150117   | 0.901836   |              70 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0329342   | 0.786653   |              70 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0329342   | 0.786653   |              70 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0578889   | 0.634066   |              70 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0578889   | 0.634066   |              70 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0578766   | 0.634138   |              70 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0329342   | 0.786653   |              70 | 0.999923 |
|                                                                                     | nicu_days                                                   |  0.00441826  | 0.971043   |              70 | 0.999998 |
| First Trimester_activities_-_summary_-_activitycalories                             | gest_age_del                                                |  0.225413    | 0.060627   |              70 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.278235    | 0.0196889  |              70 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.136644    | 0.259336   |              70 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.226422    | 0.0594521  |              70 | 0.966043 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.176291    | 0.144329   |              70 | 0.966043 |
|                                                                                     | accelerated_villous_maturation                              | -0.108583    | 0.370916   |              70 | 0.978627 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.122142    | 0.313794   |              70 | 0.978627 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0983097   | 0.418129   |              70 | 0.980905 |
|                                                                                     | placental_infarction                                        |  0.0863934   | 0.477001   |              70 | 0.988902 |
