| independent_var                                                                     | dependent_var                                               |          rho |    p_value |   sample_size_N |      FDR |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0459177   | 0.689747   |              78 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0459177   | 0.689747   |              78 | 0.999923 |
|                                                                                     | apgar_5                                                     |  0.00450675  | 0.968763   |              78 | 0.999998 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.00521325  | 0.963869   |              78 | 0.999998 |
| Early Second Trimester_activities_-_summary_-_activitycalories                      | gest_age_del                                                |  0.207479    | 0.0683467  |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.217877    | 0.0553316  |              78 | 0.966043 |
|                                                                                     | apgar_1                                                     |  0.165573    | 0.147417   |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     |  0.218482    | 0.0546419  |              78 | 0.966043 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          | -0.0936393   | 0.41482    |              78 | 0.978773 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.096233    | 0.401956   |              78 | 0.978773 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.0760766   | 0.507969   |              78 | 0.999698 |
|                                                                                     | nicu_days                                                   | -0.0622547   | 0.588185   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0582082   | 0.612709   |              78 | 0.999923 |
|                                                                                     | accelerated_villous_maturation                              |  0.0120213   | 0.916805   |              78 | 0.999923 |
|                                                                                     | increased_syncytial_knots                                   |  0.0528231   | 0.646012   |              78 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0360255   | 0.754179   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.00360255  | 0.975028   |              78 | 0.999998 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0108076   | 0.925179   |              78 | 0.999998 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0072051   | 0.950079   |              78 | 0.999998 |
