,maternal_age,infant_sex_encoded,smoking_encoded,hispanic/latino,race_white,race_black,race_asian
maternal_age,1.0,-0.0428619620454797,0.036262778402951897,0.10667355067974897,0.0964157739547751,-0.06551285233197797,0.004778923006473686
infant_sex_encoded,-0.0428619620454797,1.0,-0.06040702706435729,-0.07550130347736096,-0.0420802822769639,0.0025417523051575147,0.01304853492371227
smoking_encoded,0.036262778402951897,-0.06040702706435729,1.0,-0.03674874022884193,-0.09577722698216523,0.13477325635750065,-0.030966601067186756
hispanic/latino,0.10667355067974897,-0.07550130347736096,-0.03674874022884193,1.0,0.003341742081859711,-0.05227900020325627,-0.01750327122949508
race_white,0.0964157739547751,-0.0420802822769639,-0.09577722698216523,0.003341742081859711,1.0,-0.8595733806727228,-0.2877894750296233
race_black,-0.06551285233197797,0.0025417523051575147,0.13477325635750065,-0.05227900020325627,-0.8595733806727228,1.0,-0.044053290899344365
race_asian,0.004778923006473686,0.01304853492371227,-0.030966601067186756,-0.01750327122949508,-0.2877894750296233,-0.044053290899344365,1.0
