analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
A1BG,2558.5,0.79452862823323,,False,0.0706106737917043,0.0745585809407116,0.08047862326104324,59,89,False
AAMDC,1891.0,0.004045810381259547,,False,-0.1826540629673571,-0.0341281138125221,0.0,59,89,False
AARSD1,1826.0,0.0017532621541256263,,False,-0.3639217266517345,0.0814934327841747,35.75813689526112,59,89,False
ABCA2,2627.0,0.9968752488900459,,False,-0.1184591405043149,-0.0542240024933858,0.0,59,89,False
ABHD14B,1614.0,7.514329872076829e-05,,False,-0.413222426394594,-0.0160680139979528,0.0,59,89,False
ABL1,1669.0,0.0001811227805566328,,False,-0.294335315394062,0.1620403594807433,36.79057429571089,59,89,False
ABO,2464.0,0.5283511087864647,,False,0.0286311173055722,0.0957592671263358,1.7756333650505065,59,89,False
ABRAXAS2,2139.0,0.05699826675645635,,False,-0.2736855411437984,-0.0633088845118737,0.0,59,89,False
ACAA1,1800.0,0.0012337761659929095,,False,-0.4816255988890691,0.2687865315847521,37.57538273449784,59,89,False
ACADM,2195.0,0.0921626679824325,,False,-0.1770031238059849,0.0145101630969516,33.23483947390364,59,89,False
ACADSB,1605.0,6.479411859749314e-05,,False,-0.4861304353916236,0.2840663265415529,37.66303342980371,59,89,False
ACAN,2565.0,0.8142254185451758,,False,-0.0860922010651229,-0.0836716344249901,0.0,59,89,False
ACE,2901.0,0.281487499984711,,False,0.0771597106321284,-0.0608225694735024,-35.67711410739809,59,89,False
ACE2,2265.5,0.15915687416447633,,False,0.0629115364186006,0.1735502752385573,1.5200320019573743,59,89,False
ACHE,2913.0,0.2610217380248506,,False,-0.1152112904312443,-0.2110308347062084,0.0,59,89,False
ACOT13,1531.0,1.8320218119904273e-05,,False,-0.4777025633181797,0.3564546644902966,38.02805637255153,59,89,False
ACOX1,1942.0,0.007476578171355759,,False,-0.2067437737321472,0.1002342639303321,36.06622571873348,59,89,False
ACP1,2899.5,0.2841198189818459,,False,0.0389450024736489,-0.1937842915987055,-34.67146909099244,59,89,False
ACP5,2332.5,0.2512158226931791,,False,-0.3712253145386961,-0.279094094720647,0.0,59,89,False
ACP6,2178.0,0.08001686510031776,,False,-0.0300149302389907,0.0731877951921262,35.59886625516895,59,89,False
ACRBP,2367.0,0.3123005145445489,,False,-0.0423874631809227,-0.0022816652602658,0.0,59,89,False
ACRV1,2786.0,0.5309157244354175,,False,-0.0581563525003284,-0.0289749901737754,0.0,59,89,False
ACTA2,2151.0,0.06340651119632136,,False,-0.068320104017669,0.0552374249363002,35.183867474119936,59,89,False
ACTN2,2727.5,0.6909948787902394,,False,-0.0402276281938596,-0.0694647211025645,0.0,59,89,False
ACTN4,2556.5,0.7884935192884417,,False,-0.0625964109941967,-0.0651207250170309,0.0,59,89,False
ACVRL1,2195.0,0.09217953446115323,,False,0.0718592597743205,0.1655888655522829,1.251867183030387,59,89,False
ACY1,2238.0,0.12961765743805248,,False,-0.0569561787038947,0.1616817091674391,36.787194905271534,59,89,False
ACY3,2356.0,0.2921178706311319,,False,-0.0865649431356301,0.0002704014825339,27.481896650532935,59,89,False
ACYP1,1598.0,5.769503616050061e-05,,False,-0.5337523055267059,-0.0021876860746438,0.0,59,89,False
ADA,2083.0,0.033784267203180195,,False,-0.1637663542258932,-0.1084925546912513,0.0,59,89,False
ADA2,2334.5,0.25525095992866664,,False,-0.0838361200239514,0.0069069981242679,32.16010018978172,59,89,False
ADAM12,2415.0,0.41083519276229086,,False,0.1013259421229999,0.116181495712475,0.20489780714157527,59,89,False
ADAM15,2717.0,0.7215529633266075,,False,0.1231893057085948,0.110770199874734,-0.15960066792361255,59,89,False
ADAM22,2346.0,0.27454748431695364,,False,-0.1400916687359023,-0.0375319642817689,0.0,59,89,False
ADAM23,2521.0,0.6837908247997017,,False,-0.0960778572329284,-0.0960971378871394,0.0,59,89,False
ADAM8,1993.0,0.013222485387754074,,False,-0.2638277134245765,-0.1020313385481336,0.0,59,89,False
ADAM9,2598.0,0.915788461667442,,False,-0.0158385632244155,0.0022998987275547,30.571306918920143,59,89,False
ADAMTS1,2196.0,0.09293888436300317,,False,-0.12391866104887,0.0772535385855827,35.678914723795145,59,89,False
ADAMTS13,2586.5,0.8799556286364474,,False,-0.1725549574353935,-0.1127589421608841,0.0,59,89,False
ADAMTS15,2458.0,0.5130970561775482,,False,-0.2865901475366705,-0.1818802301328718,0.0,59,89,False
ADAMTS4,2387.0,0.35129446291096256,,False,-0.1270452346073095,-0.0641335610739654,0.0,59,89,False
ADAMTS8,2626.0,1.0,,False,-0.0873210193581573,-0.0810785667286134,0.0,59,89,False
ADAMTSL2,2756.0,0.610668381636388,,False,0.0027084087901202,-0.0690482622596098,-30.807386403920237,59,89,False
ADAMTSL4,2796.0,0.5055569672478197,,False,0.1748368971726472,0.0606036142082697,-1.5864272380203275,59,89,False
ADAMTSL5,2888.0,0.3048572726640506,,False,0.2144747821529748,0.0899776790845951,-1.3165119762084962,59,89,False
ADCYAP1R1,2545.0,0.7540492023477436,,False,-0.0245961872040666,0.0169252577338495,33.458163281189776,59,89,False
ADD1,1663.0,0.0001649003319060792,,False,-0.4443724493627518,-0.0203130464867831,0.0,59,89,False
ADGRB3,3116.0,0.05498545960137207,,False,0.0206380697003185,-0.1184074621344186,-33.746153952430824,59,89,False
ADGRD1,2826.0,0.43347388928048447,,False,0.0770659204801599,-0.0656623722216691,-35.67531208490216,59,89,False
ADGRE1,2369.0,0.31606643768681686,,False,-0.0725478439772956,0.1261835935926048,36.41151863545195,59,89,False
ADGRE2,2555.5,0.785480980288964,,False,0.0539586139180408,0.079776728616069,0.5771234496729454,59,89,False
ADGRE5,2626.0,1.0,,False,0.0386706384797417,0.0801872399601089,1.0730349094809268,59,89,False
ADGRF5,2492.0,0.6024583579760054,,False,-0.0247202315987859,0.0637269304890904,35.39439850173761,59,89,False
ADGRG1,2791.0,0.5181561309112641,,False,0.054057345541396,0.0029865990607606,-4.203534702193677,59,89,False
ADGRG2,2571.5,0.8340402227715153,,False,-0.0653516483094889,-0.0245749097932679,0.0,59,89,False
ADGRV1,2423.0,0.42888939691093864,,False,-0.4501568896089436,-0.0396438588597335,0.0,59,89,False
ADH1B,2266.0,0.1597379610019033,,False,-0.0765350076032612,0.2503120676306121,37.463135676449156,59,89,False
ADH4,2234.0,0.1257014024160824,,False,-0.1063822401130635,0.2511622604859267,37.46846493651267,59,89,False
ADM,3128.0,0.04930013479618289,,False,0.1746431514705779,0.1140631139219401,-0.6453728025614691,59,89,False
ADRA2A,2417.0,0.4153062413432891,,False,-0.1594934291411816,0.1059187398375639,36.1486839002126,59,89,False
AFAP1,1956.0,0.008792773530018026,,False,-0.2090861308864322,0.2899445875435421,37.69561933042941,59,89,False
AFM,2689.0,0.8051190016439231,,False,0.0695741320645529,0.0116170628073676,-2.6114200892018875,59,89,False
AFP,2676.0,0.8447546412040462,,False,0.1538750852051522,0.1672317323794355,0.12689113714477662,59,89,False
AGER,2983.5,0.1614892901159356,,False,0.0011744679733077,-0.0800034560794311,-29.601181127747623,59,89,False
AGR2,2350.0,0.281487499984711,,False,-0.3427281699644438,-0.0122679758112058,0.0,59,89,False
AGR3,2573.5,0.8401590275692692,,False,0.042365401535192,0.129581211434012,1.6569390901026184,59,89,False
AGRN,2810.5,0.46995092930356797,,False,-0.0246825058164975,-0.1243057049180227,0.0,59,89,False
AGRP,2706.0,0.7540494226139913,,False,-0.0834956580839283,-0.0172366131529612,0.0,59,89,False
