Fitbit_Metric,Outcome,N,Model_Family,Link_Function,Extreme_Outliers,Converged,Pseudo_R_Squared,coef_Intercept,coef_C(race)[T.white],coef_C(infant_sex)[T.m],coef_C(smoking)[T.quit],coef_C(smoking)[T.yes],coef_X_Metric,coef_prepregnancy_bmi_self_or_record,coef_parity,p_Intercept,p_C(race)[T.white],p_C(infant_sex)[T.m],p_C(smoking)[T.quit],p_C(smoking)[T.yes],p_X_Metric,p_prepregnancy_bmi_self_or_record,p_parity,coef_maternal_age,p_maternal_age
activities_summary_activitycalories,maternal_age,7028,Gamma,Log,False,True,0.10301936137587575,3.5285875482465032,-0.03299833845259591,0.11171263231701836,0.021240603750207684,0.046094949697084456,-3.5565104779828256e-05,-0.0027636449635483036,-0.02247156456282905,0.0,6.604216495951124e-08,1.0113983371562403e-113,0.0005211277569024085,4.264075266596761e-08,5.941698489380135e-17,6.311781857417478e-18,6.595778880468098e-34,,
activities_summary_activitycalories,weight_(kg),7028,Gamma,Log,True,True,0.8238105062268769,3.7896885510364826,0.05411878658141851,0.019934084754638752,0.044322084852395256,-0.04971924783542876,1.6283761368350137e-05,0.021719415010348454,0.012305336007388276,0.0,1.5478075255713682e-81,1.9323620428521576e-18,4.0660566717877484e-33,1.8500309165083264e-19,3.1235493324533146e-15,0.0,3.123196520178128e-37,-0.0006820202589962729,3.294770158321355e-09
activities_summary_activitycalories,prepregnancy_weight_self_or_record,6935,Gamma,Log,True,True,0.9096786457000079,3.5196324286936704,0.03392444572136522,0.036628269291042265,0.030099092374069505,-0.012034337510137067,1.556854166796148e-05,0.028006755670547518,-0.005399772830424757,0.0,7.986365430710031e-75,1.0799321492029686e-86,7.890240068718817e-34,0.0010769179714735387,4.839544426147441e-20,0.0,4.1127537948218343e-11,-0.0018803980790309696,1.1827630658098317e-61
activities_summary_activitycalories,prepregnancy_bmi_self_or_record,7028,Gamma,Log,True,True,0.22773921731593338,3.3159718328537866,0.16136906467863918,-0.08504461697650634,0.14141970468226955,0.0324700452246091,9.12281143611229e-05,,0.010340304791826455,0.0,1.9816659219692015e-123,2.348841895372346e-36,4.0515560174983477e-110,0.08375846530345774,2.8165250636023828e-99,,2.8737267670585617e-06,-0.0037474317307212525,3.119273496358794e-25
activities_summary_activitycalories,gravida,7028,Gamma,Log,False,True,0.1735279118276971,-0.35517466338757786,0.24320851661339782,-0.08957475632135393,0.15400211058861896,0.39453843298705876,1.3249405006490238e-05,0.007897776830362975,0.010163058532071754,2.664952991932179e-20,7.538086438996588e-60,7.051927355592713e-13,5.519754175399451e-25,2.5492884539957505e-82,0.20239609543572923,6.964570940328904e-24,0.026014103558766585,0.021435033128488493,9.943235321300239e-142
activities_summary_activitycalories,parity,7028,Gamma,Log,False,True,0.08967239608291377,0.6515176540549479,-0.07703529746982996,0.19113277120326455,0.26126776456809936,0.28991606724242264,-0.00015095595358532107,0.011122722984970551,,1.3792244600154218e-30,0.0006374284411651292,1.76357958917845e-24,1.7698473633473316e-31,5.184905424848919e-21,4.884042579777831e-22,5.8119600649105485e-21,,-0.018605517380376385,4.2001520915076146e-49
activities_summary_activitycalories,gest_age_del,7028,Gamma,Log,False,True,0.15047804390463604,3.704408005363187,0.029204145852667,0.02035568176783599,0.011396831588775231,0.03375403352637897,-2.9946576841483275e-06,-0.0016223922160142747,-0.008708544787373278,0.0,4.069447671150521e-66,2.1836319479938265e-46,2.1243610963613727e-11,4.2214856522104227e-47,0.011545495199402152,1.3565611570250635e-73,9.242825011257417e-63,-0.0014335479258791295,6.022825272571311e-50
activities_summary_activitycalories,birthweight,7028,Gamma,Log,False,True,0.18277676732022285,7.773752109649986,0.16163122838136115,0.09455855165824349,-0.1222932772291101,0.030454334618256185,-1.6643769204941644e-05,0.005999045357591934,-0.024345196584916757,0.0,7.250666151995689e-122,1.7488201884368197e-60,1.7924252289212726e-70,0.0013192861626050063,0.0005267491999247804,1.1192810469636077e-61,7.912621326113813e-31,-0.0027565773559701306,1.7055559194582523e-12
activities_summary_activitycalories,apgar_1,7028,Gamma,Log,True,True,0.2217105133864392,2.095946094024256,0.4824890835701013,-0.21710789378204742,0.08260592537068463,0.15895261631572427,1.6555973950575555e-06,-0.01119309979067346,-0.01436398183766954,0.0,1.1027393813242657e-145,4.9772958811902045e-116,8.187427534392475e-16,5.906191503014345e-56,0.7700525507668488,2.145649363775861e-117,2.4777210915517244e-12,-0.0004625228809112561,0.33817055333907553
activities_summary_activitycalories,apgar_5,7028,Gamma,Log,False,True,0.12330925425268702,2.1731702676586657,0.11339752277486745,-0.06946906253816204,0.00917413712774525,0.0664926122741056,2.1628184808164374e-05,-0.004184702967136102,-0.00943135993423894,0.0,4.641709560301855e-147,1.1755198811499792e-79,0.036831001856766875,4.018980342624346e-28,1.6196960471060575e-12,2.0018085887182077e-73,2.342963879919053e-12,0.00079767944929027,0.001365370480201059
