"m.z" "r.t" "p.value" "t.score"
1054.97362 21.6374852635058 0.0000000001 -33.9304294835
561.48883 13.1581818237378 0.0000000001 -33.2733223976
736.49228 7.94913734105586 0.0000000001 -33.1766432632
538.48299 6.64984389580239 0.0000000001 -32.0646802803
806.68683 17.5470926919131 0.0000000001 -33.9429872467
974.87463 20.3029731425367 0.0000000006 -34.3782142123
1000.92667 21.7006674697822 0.0000000677 0.0000000000
808.66610 15.2926862036791 0.0000000677 0.0000000000
832.70248 17.6077147587415 0.0000000697 0.0000000000
936.76508 18.5186099282481 0.0000000697 0.0000000000
832.70248 17.9104454003649 0.0000000697 0.0000000000
826.71305 17.9751998039885 0.0000000697 0.0000000000
1000.92667 21.0634287715864 0.0000000451 0.0000000000
890.72322 19.3382342296112 0.0000000639 0.0000000000
890.72322 19.4435201936027 0.0000000603 0.0000000000
832.70248 18.9964478641512 0.0000000697 0.0000000000
818.56703 10.0990382757739 0.0000000537 0.0000000000
1024.67785 8.65224253047407 0.0000000586 0.0000000000
838.69192 19.1221229252974 0.0000000717 0.0000000000
838.69192 18.8158373469008 0.0000000677 0.0000000000
832.70248 19.1785617031494 0.0000000697 0.0000000000
832.70248 19.3221789584865 0.0000000717 0.0000000000
645.54525 17.326768853654 0.0000000697 0.0000000000
798.52796 10.0199104253459 0.0000000677 0.0000000000
828.55966 9.00662114892922 0.0000000677 0.0000000000
818.56943 10.6752780889912 0.0000000492 0.0000000000
800.52008 7.00529186720658 0.0000000639 0.0000000000
938.78073 19.4082545818847 0.0000000738 0.0000000000
892.60381 14.3065056849868 0.0000000677 0.0000000000
692.61875 17.6306018998363 0.0000000697 0.0000000000
890.72322 19.6916151495635 0.0000000569 0.0000000000
884.73378 17.9493702637135 0.0000000677 0.0000000000
888.64528 15.1423347059567 0.0000000697 0.0000000000
838.55926 5.42834274301472 0.0000000603 0.0000000000
838.55926 5.56502084678931 0.0000000569 0.0000000000
838.55926 5.74322668110538 0.0000000677 0.0000000000
838.55926 5.90826679290631 0.0000000639 0.0000000000
838.55926 6.29566271833174 0.0000000677 0.0000000000
838.55926 6.97461568849113 0.0000000677 0.0000000000
788.52248 8.630284343459 0.0000000658 0.0000000000
808.70248 19.7207297847253 0.0000000658 0.0000000000
842.56943 9.99018256168592 0.0000000697 0.0000000000
838.55926 11.5171097840673 0.0000000697 0.0000000000
838.55926 11.9920506155625 0.0000000697 0.0000000000
955.77251 20.9201143944706 0.0000000697 0.0000000000
744.66531 20.9369401257098 0.0000000658 0.0000000000
521.42005 4.56245991383664 0.0000000738 0.0000000000
682.64966 21.2500256419296 0.0000000658 0.0000000000
682.64966 21.2037438795692 0.0000000658 0.0000000000
1008.89537 21.3493391355033 0.0000000677 0.0000000000
593.51395 14.7986388488556 0.0000000677 0.0000000000
694.63440 18.3553007082915 0.0000000697 0.0000000000
884.73378 18.2921117320691 0.0000000658 0.0000000000
763.63876 17.9344687427686 0.0000000522 0.0000000000
598.54050 15.5084030975704 0.0000000677 0.0000000000
694.63440 18.598961260615 0.0000000697 0.0000000000
808.66610 15.0654361565242 0.0000000717 0.0000000000
884.73378 18.1777721222614 0.0000000677 0.0000000000
664.60271 20.6638709867292 0.0000000317 0.0000000000
866.66333 16.1311032822682 0.0000000697 0.0000000000
736.49118 7.95376324806415 0.0000000658 0.0000000000
780.67118 18.9099025139418 0.0000000717 0.0000000000
620.59762 16.4863827907993 0.0000000738 0.0000000000
678.47045 4.03781475879018 0.0000000507 -31.7899808807
878.61994 8.43416308088934 0.0000000677 0.0000000000
582.50920 12.7753852773845 0.0000000677 0.0000000000
634.61327 17.6319395883584 0.0000000697 0.0000000000
694.59802 17.7874457901788 0.0000000104 -4.0285756042
754.53813 9.88018527485945 0.0000000569 0.0000000000
927.61096 14.2420765502054 0.0000000697 0.0000000000
750.50443 6.90835286677073 0.0000000697 0.0000000000
872.57759 11.4901192517225 0.0000000697 0.0000000000
932.73378 18.7780916692925 0.0000000717 0.0000000000
880.76000 18.8551280257099 0.0000000378 0.0000000000
831.63745 12.3309298603856 0.0000000658 0.0000000000
918.81203 19.3009013520459 0.0000000677 0.0000000000
