,analyte_ID,primary_complication_type,percent_in_primary_complication,percent_in_other_complications,enrichment_ratio,n_patients_primary_complications
2,IL18RAP,sPTB,0.35714285714285715,"[0.047619047619047616, 0.023809523809523808]","[15.000000000000002, 7.500000000000001]",5
0,AOC1,sPTB,0.42857142857142855,"[0.047619047619047616, 0.19047619047619047]","[9.0, 2.25]",6
1,DAB2,FGR,0.3333333333333333,"[0.19047619047619047, 0.07142857142857142]","[4.666666666666667, 1.75]",7
4,PPP1R12A,FGR,0.3333333333333333,"[0.2619047619047619, 0.14285714285714285]","[2.3333333333333335, 1.2727272727272725]",7
3,KLK1,sPTB,0.35714285714285715,"[0.2857142857142857, 0.16666666666666666]","[2.1428571428571432, 1.25]",5
