,most_persistent,most_prevalent,early_warning,complication_specific,most_extreme,super_candidate
PLEKHO1,0,0,1,0,0,False
PNLIPRP1,0,0,0,0,1,False
PPIB,0,0,1,0,0,False
PPIE,1,0,0,0,0,False
PPM1F,0,0,1,0,0,False
PPP1CC,0,1,1,0,0,False
PPP1R12A,0,1,1,1,0,True
PPP1R2,0,0,1,0,0,False
PRDX5,0,0,1,0,0,False
PRR4,0,0,0,0,1,False
PRTFDC1,0,0,0,0,1,False
PTRHD1,0,0,1,0,0,False
PXDNL,1,0,0,0,0,False
RAB2B,0,0,0,0,1,False
RAB33A,0,0,0,0,1,False
RABEP1,0,0,1,0,0,False
RGCC,0,0,1,0,0,False
RGS10,0,0,0,0,1,False
RHOC,0,0,1,0,0,False
RICTOR,1,0,0,0,0,False
ROBO1,0,0,0,0,1,False
RTN4IP1,1,0,0,0,0,False
RWDD1,0,0,1,0,0,False
SAMD9L,0,0,1,0,0,False
SEC31A,0,0,1,0,0,False
SERPINA9,0,0,0,0,1,False
SERPINB1,0,0,1,0,0,False
SERPINB6,0,0,1,0,0,False
SERPINB9,0,0,1,0,1,False
SF3B4,0,0,1,0,0,False
SIGLEC10,1,0,0,0,0,False
SLK,1,0,0,0,0,False
SMAD1,0,0,0,0,1,False
SNAP23,0,0,0,0,1,False
SNX9,0,1,1,0,0,False
SRPK2,0,0,1,0,0,False
STAT5B,0,0,1,0,0,False
STAU1,1,0,0,0,0,False
STIP1,0,0,1,0,0,False
STK11,0,0,1,0,0,False
STX3,0,0,0,0,1,False
STX4,0,0,1,0,0,False
SUGT1,0,0,1,0,0,False
SULT1A1,0,0,1,0,0,False
SUMF1,1,0,0,0,0,False
SYTL4,0,0,1,0,0,False
TBC1D23,0,1,1,0,0,False
TBCA,0,0,1,0,0,False
TBCB,0,0,1,0,0,False
TBCC,0,1,1,0,0,False
TIA1,0,1,1,0,0,False
TJAP1,0,1,1,0,0,False
TMED8,0,1,1,0,0,False
TMPRSS11B,1,0,0,0,0,False
TNFAIP8L2,0,1,1,0,0,False
TNIP1,0,0,1,0,0,False
TP53BP1,0,0,1,0,0,False
TREM2,0,0,0,0,1,False
TRIAP1,0,0,1,0,0,False
TWF2,0,1,1,0,0,False
TXK,0,0,1,0,0,False
TXNDC9,0,1,1,0,0,False
UFD1,0,0,1,0,0,False
USP25,0,1,1,0,0,False
USP47,1,0,0,0,0,False
USP8,0,0,1,0,0,False
VASH1,0,1,1,0,0,False
VASP,0,1,1,0,0,False
VAV3,0,1,1,0,0,False
VCPKMT,1,0,0,0,0,False
VPS4B,0,1,1,0,0,False
VPS53,0,1,1,0,0,False
VSTM2L,0,0,0,0,1,False
VWA5A,1,0,0,0,0,False
WASF1,0,1,1,0,0,False
YARS1,0,1,1,0,0,False
YES1,0,0,1,0,0,False
YWHAQ,0,1,1,0,0,False
