,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,PROT,2,-0.0393,0.19543915837652326
AAMDC,AAMDC,plasma,PROT,2,-0.0255571496866864,0.18287152820913014
AARSD1,AARSD1,plasma,PROT,2,-0.1371857270915397,0.5355506134461913
ABCA2,ABCA2,plasma,PROT,2,-0.057077910078174504,0.36386096419737335
ABHD14B,ABHD14B,plasma,PROT,2,-0.05317979738630995,0.3751549349123078
ABL1,ABL1,plasma,PROT,2,-0.10970691994624329,0.36565
ABO,ABO,plasma,PROT,2,-0.17041757519404804,1.2862248288589422
ABRAXAS2,ABRAXAS2,plasma,PROT,2,-0.14955407039259982,0.4494022159209681
ACAA1,ACAA1,plasma,PROT,2,0.11549999999999999,0.68585
ACADM,ACADM,plasma,PROT,2,-0.03678973031498965,0.5018602295455719
ACADSB,ACADSB,plasma,PROT,2,-0.13206015250821715,0.6845597352306141
ACAN,ACAN,plasma,PROT,2,-0.006295493572630199,0.1709041661273483
ACE,ACE,plasma,PROT,2,0.02956785994445965,0.21951785994445966
ACE2,ACE2,plasma,PROT,2,-0.16267844569701084,0.3819296007915638
ACHE,ACHE,plasma,PROT,2,-0.11002879649514005,0.2685907755929312
ACOT13,ACOT13,plasma,PROT,2,0.046019784930072846,0.7819661915474334
ACOX1,ACOX1,plasma,PROT,2,0.013912685635035784,0.42325288714039755
ACP1,ACP1,plasma,PROT,2,-0.0083690013633325,0.42901746989306244
ACP5,ACP5,plasma,PROT,2,-0.12976663262117283,0.3249545836117065
ACP6,ACP6,plasma,PROT,2,0.0551873858279841,0.3478275105252755
ACRBP,ACRBP,plasma,PROT,2,-0.0482834366444913,0.16808006686441734
ACRV1,ACRV1,plasma,PROT,2,-0.017393633961379752,0.31775
ACTA2,ACTA2,plasma,PROT,2,-0.2462029269110106,0.22465108465836886
ACTN2,ACTN2,plasma,PROT,2,-0.18282628341543483,0.3516458250861463
ACTN4,ACTN4,plasma,PROT,2,-0.047012903957826646,0.167884462986739
ACVRL1,ACVRL1,plasma,PROT,2,-0.14449960525108568,0.17896400183786776
ACY1,ACY1,plasma,PROT,2,-0.15915999159489674,0.5404957484053527
ACY3,ACY3,plasma,PROT,2,-0.12266969285876667,0.29851889549830185
ACYP1,ACYP1,plasma,PROT,2,-0.17344253172052543,0.44665290696449983
ADA,ADA,plasma,PROT,2,0.01376713693410775,0.2304120778669409
ADA2,ADA2,plasma,PROT,2,-0.2217752461012218,0.4132804750943134
ADAM12,ADAM12,plasma,PROT,2,0.0959055026299549,0.1432192441943032
ADAM15,ADAM15,plasma,PROT,2,-0.04355,0.2460912816837126
ADAM22,ADAM22,plasma,PROT,2,-0.0074775547351095505,0.19656039897229294
ADAM23,ADAM23,plasma,PROT,2,0.021956999223903352,0.29329770167976166
ADAM8,ADAM8,plasma,PROT,2,-0.08715,0.3635183934855192
ADAM9,ADAM9,plasma,PROT,2,-0.09825,0.21945951299844185
ADAMTS1,ADAMTS1,plasma,PROT,2,-0.06866651231784279,0.32747267100901617
ADAMTS13,ADAMTS13,plasma,PROT,2,-0.0604667865723861,0.33488366543743275
ADAMTS15,ADAMTS15,plasma,PROT,2,-0.02365501841040175,0.3287981988711949
ADAMTS4,ADAMTS4,plasma,PROT,2,-0.046258634215806796,0.39869205313048295
ADAMTS8,ADAMTS8,plasma,PROT,2,-0.06701672632490095,0.36727323038009924
ADAMTSL2,ADAMTSL2,plasma,PROT,2,-0.2269213221911752,0.2917702802069365
ADAMTSL4,ADAMTSL4,plasma,PROT,2,-0.24827389806038586,0.27625829542302927
ADAMTSL5,ADAMTSL5,plasma,PROT,2,-0.13084391608159496,0.2905439363867113
ADCYAP1R1,ADCYAP1R1,plasma,PROT,2,0.03516625096773435,0.17635506085210026
ADD1,ADD1,plasma,PROT,2,-0.22410385917222986,0.4927590074596729
ADGRB3,ADGRB3,plasma,PROT,2,0.024548425389838,0.1780764954968789
ADGRD1,ADGRD1,plasma,PROT,2,-0.16660826624917766,0.35145730835428435
ADGRE1,ADGRE1,plasma,PROT,2,-0.01442524093463625,0.39832110481370964
ADGRE2,ADGRE2,plasma,PROT,2,-0.24980208437069462,0.23551860824686838
ADGRE5,ADGRE5,plasma,PROT,2,-0.18854390262592205,0.201291091435992
ADGRF5,ADGRF5,plasma,PROT,2,-0.1710409008359497,0.2847307833912192
ADGRG1,ADGRG1,plasma,PROT,2,-0.15335,0.2025459554571578
ADGRG2,ADGRG2,plasma,PROT,2,-0.19538254949344902,0.3057502797383716
ADGRV1,ADGRV1,plasma,PROT,2,0.018075,1.0848529995413339
ADH1B,ADH1B,plasma,PROT,2,-0.036107289653913396,0.6487405207919297
ADH4,ADH4,plasma,PROT,2,0.029619513183878753,0.7900228831715328
ADM,ADM,plasma,PROT,2,-0.12410560488537159,0.15145
ADRA2A,ADRA2A,plasma,PROT,2,-0.0482364432148688,0.7282680758959288
AFAP1,AFAP1,plasma,PROT,2,-0.00637478812607095,1.0033163392944937
AFM,AFM,plasma,PROT,2,-0.10738319801301441,0.23049067601264533
AFP,AFP,plasma,PROT,2,-0.12146115748534925,0.17951439830258564
AGER,AGER,plasma,PROT,2,0.058751554054290896,0.40194618734215193
AGR2,AGR2,plasma,PROT,2,0.014229343726788201,0.5409587026184235
AGR3,AGR3,plasma,PROT,2,-0.2399789950668497,0.6827753926717323
AGRN,AGRN,plasma,PROT,2,-0.20448679467419856,0.2446343632790347
AGRP,AGRP,plasma,PROT,2,-0.0783878248305612,0.29664369339672364
