,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
p5016_POS,p5016_POS,plasma,MTBL,E,15.193329498124106,0.0828913274565437
p3023_POS,p3023_POS,plasma,MTBL,E,11.708927761932458,0.2412596130000768
p3469_POS,p3469_POS,plasma,MTBL,E,16.131396446124985,0.5990200876940186
p131_POS,p131_POS,plasma,MTBL,E,24.194012486629756,0.18342417927399524
n537_NEG,n537_NEG,plasma,MTBL,E,22.69630918124196,0.10547735599362795
Galactitol_POS,Galactitol_POS,plasma,MTBL,E,18.593722593645417,0.41893194429608727
"1,2,3-Trihydroxybenzene_NEG","1,2,3-Trihydroxybenzene_NEG",plasma,MTBL,E,17.992110137766026,0.1839296242051276
p2234_POS,p2234_POS,plasma,MTBL,E,14.6046504144125,0.40755558050853047
p2448_POS,p2448_POS,plasma,MTBL,E,17.235800852853362,0.2495471570448231
p4097_POS,p4097_POS,plasma,MTBL,E,18.046720510994447,0.3281376158070408
Repinotan_POS,Repinotan_POS,plasma,MTBL,E,14.030878802124654,0.19779132614212536
p1519_POS,p1519_POS,plasma,MTBL,E,19.4794152299746,0.17221829262724242
p3498_POS,p3498_POS,plasma,MTBL,E,15.641776758797826,0.3738681562588848
n4_NEG,n4_NEG,plasma,MTBL,E,28.964922903819048,0.05380196921298719
n3757_NEG,n3757_NEG,plasma,MTBL,E,8.589533103942289,0.08774219100980041
p2690_POS,p2690_POS,plasma,MTBL,E,18.230526857158672,0.20425415426045035
p1192_POS,p1192_POS,plasma,MTBL,E,22.09842506513784,0.1953945398989525
n3849_NEG,n3849_NEG,plasma,MTBL,E,11.683934670757491,0.31766517131464056
n178_NEG,n178_NEG,plasma,MTBL,E,24.365249728479963,0.07055674731345363
p1815_POS,p1815_POS,plasma,MTBL,E,20.32743721672143,0.10495431229339403
p3707_POS,p3707_POS,plasma,MTBL,E,19.779303443670443,0.08867048974057923
p4375_POS,p4375_POS,plasma,MTBL,E,13.990929741475226,0.6019996372998495
p300_POS,p300_POS,plasma,MTBL,E,24.67845199761194,0.1607386598955678
n3235_NEG,n3235_NEG,plasma,MTBL,E,12.724067016760484,0.060376928371432825
p1970_POS,p1970_POS,plasma,MTBL,E,17.534622927447334,0.36254056593568507
p5236_POS,p5236_POS,plasma,MTBL,E,14.775961096218186,0.12377125081998663
p132_POS,p132_POS,plasma,MTBL,E,25.187452734247483,0.12181719588498652
p2281_POS,p2281_POS,plasma,MTBL,E,19.10120989941268,0.3506772292228142
p1029_POS,p1029_POS,plasma,MTBL,E,20.49558159801584,0.27990069542880747
p1780_POS,p1780_POS,plasma,MTBL,E,18.549842932281653,0.41411867066993224
p145_POS,p145_POS,plasma,MTBL,E,26.100832744702785,0.15232236887942108
p903_POS,p903_POS,plasma,MTBL,E,19.912484052763897,0.22153131209115884
n2843_NEG,n2843_NEG,plasma,MTBL,E,15.335044630763663,0.2663563101946149
p1994_POS,p1994_POS,plasma,MTBL,E,20.00804891058287,0.24317966607338448
n2905_NEG,n2905_NEG,plasma,MTBL,E,17.73630467431904,0.38941826090265863
p3681_POS,p3681_POS,plasma,MTBL,E,17.810640038080447,0.3440695596772123
D-Glucose_POS,D-Glucose_POS,plasma,MTBL,E,27.13120350291095,0.12800489628616418
p4965_POS,p4965_POS,plasma,MTBL,E,13.584253884238688,0.28466650603736454
n1333_NEG,n1333_NEG,plasma,MTBL,E,20.580108863044416,0.10273901239579786
Dacarbazine_POS,Dacarbazine_POS,plasma,MTBL,E,14.165444372021872,0.34426644219584723
(R)-Salsolinol_POS,(R)-Salsolinol_POS,plasma,MTBL,E,13.209726658481973,0.20066441566988402
n2511_NEG,n2511_NEG,plasma,MTBL,E,18.35491964566564,0.2667253624707904
p4116_POS,p4116_POS,plasma,MTBL,E,15.011646640319398,0.20422282790489454
p4306_POS,p4306_POS,plasma,MTBL,E,12.620190762048589,0.19103596311163074
n33_NEG,n33_NEG,plasma,MTBL,E,27.610539953306965,0.060026457247019493
p800_POS,p800_POS,plasma,MTBL,E,20.905695339602644,0.12037670489877073
"1,1,1,2,2,3,3,10,10,11,11,12,12,12-Tetradecafluoro-5,8-diiodododecane_NEG","1,1,1,2,2,3,3,10,10,11,11,12,12,12-Tetradecafluoro-5,8-diiodododecane_NEG",plasma,MTBL,E,22.88002556837605,0.08062696481805176
