log_fc,ave_expr,t,p_value,adj_p_value,b,uniprot_id
0.49867287723015463,0.184382288430913,6.773190106132856,3.3498811849012176e-11,9.429915535496928e-08,15.013402210646747,PDIA4
0.5827995750007411,0.19015802183256478,6.467563800551923,2.2617883181514195e-10,3.183467057798123e-07,13.198783795950282,LAT2
0.6248263992179177,0.30297344042292523,6.297359054835409,6.351498022328353e-10,5.952866741481828e-07,12.219072322159834,PPP1R12A
0.5916471370586953,0.28248872172323936,6.2277105545666895,9.62849245917678e-10,5.952866741481828e-07,11.824621271167251,DCTN2
0.2975786227242733,0.09432919683916721,6.211949416445017,1.0573475562134686e-09,5.952866741481828e-07,11.735881840118003,DHRS4L2
0.4074482960661013,0.14049656759211496,6.155958222449962,1.4722352639645822e-09,6.907237113433832e-07,11.42220266367657,HTRA2
0.42295387319250055,0.15455084985816256,6.122447095411695,1.7926994665654701e-09,7.209212854831141e-07,11.235635670396915,ABL1
0.6265753718632239,0.14016941986391274,6.0638373487955715,2.524495288970351e-09,8.883067798064422e-07,10.911454265993177,INPPL1
0.5025658131260139,0.17301670363929472,5.968048359383402,4.391501102102543e-09,1.2845801878711647e-06,10.387453340313813,AP1G2
0.39488527188107203,0.24679849072339174,5.961360246702611,4.563339921389573e-09,1.2845801878711647e-06,10.351137890482791,TXNDC9
0.6233223891157381,0.2878484649752455,5.94144608639238,5.114776114781843e-09,1.3089177057373537e-06,10.2432170254341,DAB2
0.24336091574526403,0.00509007699743556,5.9193955305590675,5.801306152477682e-09,1.3608897349353897e-06,10.124085676841007,RP2
0.6629681002256067,0.3014081416237324,5.8981782352782455,6.5463508843898095e-09,1.4175367491967164e-06,10.009821048859854,CORO1A
0.8144171265937173,0.2704241410028266,5.864426421620906,7.927775880200808e-09,1.5714940839706484e-06,9.82879118723911,NAA80
0.6125626789460399,0.09250090461522316,5.8547467734917635,8.373858351530987e-09,1.5714940839706484e-06,9.777041459824327,ARHGEF1
0.43798497955123555,0.19844115372720822,5.8303027579966535,9.612093203394781e-09,1.6815782759561357e-06,9.6466909977638,TJAP1
0.44620692977692655,0.24151843289595532,5.820531666725032,1.0155490257191706e-08,1.6815782759561357e-06,9.594719203715618,VASH1
0.6924446466883399,0.27672162437058045,5.798884274038673,1.1468170325955126e-08,1.6815782759561357e-06,9.479850371702875,ACADSB
0.46112576083389545,0.12511354132833022,5.792555462436547,1.1882228849469583e-08,1.6815782759561357e-06,9.4463383554876,LETM1
0.5135694090686979,0.06434794317066873,5.79158089559645,1.1947270166651053e-08,1.6815782759561357e-06,9.44118072958573,FGR
0.4065814145435392,0.23114227697194667,5.778450723952581,1.2858118919192802e-08,1.72360022654894e-06,9.371767193265342,VPS53
0.5664409214366337,0.2990759380375165,5.763737958058419,1.395920907669014e-08,1.7861442523128522e-06,9.294151555236786,VASP
0.6393912962802789,0.17305200647228888,5.695514401063269,2.038628369571902e-08,2.495103852323871e-06,8.936520836728542,IPCEF1
0.6482769408889262,0.22874056065040801,5.649008241202822,2.6334444263563955e-08,2.872952042053142e-06,8.69488541966495,TIA1
0.4475174500897201,0.08698283594377763,5.646475506137257,2.67028487482701e-08,2.872952042053142e-06,8.681776122562944,HMGCL
0.7705835477840522,0.17481187500512016,5.6432739098698725,2.717572636696951e-08,2.872952042053142e-06,8.6652122680729,ARF6
0.7389415303703762,0.29985408938384633,5.640739392528178,2.7555845518804562e-08,2.872952042053142e-06,8.65210551478605,RHOC
0.33823350961073345,0.15181211170640938,5.619168231856814,3.10074053445604e-08,3.1173516444620543e-06,8.54076518097476,SRPK2
