log_fc,ave_expr,t,p_value,adj_p_value,b,uniprot_id
-0.5962336794106675,-0.024673748139639632,-5.993784558102712,3.78729114866065e-09,1.0661224583479731e-05,10.398219309060227,ADAMTS8
-0.5419903124765383,-0.09775463612163846,-5.048247455667205,6.136265253822914e-07,0.0006370060458602456,5.73001879313603,GASK1A
-0.49707337477170344,-0.066910604929686,-4.992854443781788,8.08100067343247e-07,0.0006370060458602456,5.4787412286182215,PGA4
1.1872147198655882,0.16547691700318445,4.9698809385075515,9.051595678298338e-07,0.0006370060458602456,5.375263548224111,GUCY2C
-0.6040045571210388,-0.0872595294589101,-4.827616630638246,1.8092347738304747e-06,0.0010185991776665573,4.744129642278414,SFTPD
-0.25828074532196527,0.03661847475988505,-4.680217253386561,3.641852668301863e-06,0.0017086358768782907,4.107857653036693,FAP
-0.5906907745691702,-0.10717233103135967,-4.5809215763078885,5.77427923135947e-06,0.002207783688510501,3.6894289531780258,CBLIF
-0.7203298304542205,-0.13486632447714486,-4.54338409373385,6.858432794570743e-06,0.002207783688510501,3.533396430292739,LILRA6
-0.245421679369349,0.07063740738052515,-4.53708150993622,7.058633462378156e-06,0.002207783688510501,3.507314314211187,GPHA2
-0.47662080132581247,0.10341773400249564,-4.475672800231969,9.326165591846687e-06,0.0026253156141048425,3.2549329812656653,CNTN2
-0.3314379067425243,-0.035237504748596216,-4.430407804389408,1.1428431232653747e-05,0.0029246394472654817,3.0709336097617994,MRC1
-0.25999472949403263,0.030500727448491274,-4.2796613258451774,2.220808559579004e-05,0.005209646746012413,2.470658688405261,CTHRC1
-0.26442584972580496,0.015815060286441918,-4.21349003466547,2.9545263009784473e-05,0.006397685797887945,2.2132631494593946,WFDC1
-0.5673502587764695,0.17408180290246647,-4.17145006197137,3.535112342811685e-05,0.007108100889296353,2.051676143852556,DHPS
-0.2856818568927911,-0.029320770572394184,-4.109729123285608,4.587715376119628e-05,0.00832905192839664,1.8171834364524742,SFRP4
-0.2508220319332395,-6.885051666994998e-05,-4.102238314018975,4.7340970108115886e-05,0.00832905192839664,1.7889463557950478,CLSTN3
0.774816706828185,0.34141762474132364,4.070105586840198,5.4139199902984775e-05,0.008964814572170713,1.6683668429825467,ATF2
-0.31764927213659183,-0.035026614662910495,-4.0269778972897425,6.47317868461417e-05,0.010123332220660492,1.5079241577889482,MFAP4
-0.3889941334182151,-0.04400032332414331,-4.001171004999303,7.198160389962535e-05,0.010160190570179183,1.412684247261522,THBS4
-0.6563407109567063,-0.002705329011074778,-4.000479498414285,7.218607865136188e-05,0.010160190570179183,1.410140155592261,MLN
-0.3994538932732926,-0.13697767665168814,-3.970581942547863,8.157264237812096e-05,0.010800635571682905,1.3005401015748719,CPA4
-0.6763290826474854,-0.12881183889635536,-3.962185833541532,8.440994052469766e-05,0.010800635571682905,1.2699000578946746,TMPRSS15
-0.5863976329254872,0.08400656556604252,-3.939691673564462,9.247944842254585e-05,0.011318680317802893,1.1881121749902777,MFAP3L
-0.21143707896677333,0.009971004477971059,-3.9013222543071047,0.00010795464810969516,0.012662180601199662,1.0496131149195325,EZR
-0.21729901953915942,0.030353123711454422,-3.8475280433439147,0.0001338186010900038,0.01486775314639924,0.857585813280914,TNFRSF19
0.8545252750032708,0.28905637736160295,3.829100499195396,0.00014395191432290031,0.01486775314639924,0.7923836140381137,GSAP
-0.4906379815695478,-0.0911029294250971,-3.8123026001569738,0.00015381661024283747,0.01486775314639924,0.7332049008422183,VNN1
-0.6010511804603083,-0.0492085321837263,-3.8059603489280285,0.00015770445174383648,0.01486775314639924,0.7109251174372737,NOS3
-0.547278895748817,0.030040963690903665,-3.8037379158270963,0.00015908862586325602,0.01486775314639924,0.7031261866143401,TPP1
-0.27614992196024,0.055332034231361196,-3.79787878314845,0.00016279296778381005,0.01486775314639924,0.6825860172215519,EPS8L2
-0.379149328476624,-0.0804697772334738,-3.796416408597634,0.00016373014122144812,0.01486775314639924,0.6774640809949668,DPT
-0.23882965138918166,-0.0061105406854278,-3.753727751488932,0.00019344004514371712,0.017016678971236366,0.5287692879573251,HEPH
-0.36603094165776445,-0.06124466686720142,-3.7406776208959363,0.00020349200420315215,0.017358484600965857,0.483629820160715,LIPF
-0.3459092111292793,0.0208192620063265,-3.7245892854284706,0.00021656172812123062,0.017788807029643697,0.4281860997597482,GALNT5
-0.678075553985309,0.2636850840657678,-3.7191279749899486,0.00022117522061723956,0.017788807029643697,0.4094167093950798,GOLGA3
-0.2520914192851285,0.03451327646438198,-3.703303774201885,0.00023507083368438765,0.01838123324504309,0.3551794353228832,ITGAM
-0.5367225260416687,0.2754325508663241,-3.6925125931609815,0.0002450135604206047,0.018640896556324383,0.3183183738988573,NENF
-0.35134628523823214,-0.013946000860613225,-3.6781502746861148,0.00025886123112617217,0.019176167516320387,0.2694169095845087,MFGE8
-0.49754193311329264,0.01659261660528426,-3.6584700556942082,0.0002790344842525708,0.020140565978743252,0.202702150930822,USP47
-1.0342894984661846,-0.13326280174464109,-3.6400266427205357,0.00029927289173562507,0.021061329755894614,0.14048817639358369,CBLN1
-0.4199102398750634,0.06514039477937134,-3.6310303833948017,0.00030963756283258433,0.02125926193594451,0.11024991169646992,GBP1
-0.4904376384734355,0.0015872988878855752,-3.617182236440823,0.00032625299828040357,0.02176366245474593,0.06384225272936295,CILP
-0.41516526603387954,0.07021107809286767,-3.612188944901343,0.0003324467089002043,0.02176366245474593,0.04715011642022304,FGFBP2
-0.26904586046949613,0.10468288181188881,-3.6036243546886175,0.00034332792032332806,0.02191153512319011,0.01857042505199935,EIF1AX
-0.2988593064083821,0.02111410910659547,-3.5902840599805077,0.0003609442621042806,0.02191153512319011,-0.02581724644632466,ITGB7
-0.2583349972142726,-0.07487884992275996,-3.5902026429842326,0.00036105433304323684,0.02191153512319011,-0.02608766819555175,F12
-0.5844369397540055,-0.009557060971996588,-3.586684445308841,0.00036584090614207287,0.02191153512319011,-0.0377675885452895,CXCL13
-0.35556162619688203,0.09717003165189057,-3.5627687541188364,0.00039998959620785935,0.02330995304042944,-0.11687585692369051,NDST1
-0.6941429667330192,0.3011372152427274,-3.5555048455944,0.0004109388574314836,0.02330995304042944,-0.14080377338811711,GAST
0.6125709501784095,0.31195158712682247,3.5486682144340516,0.00042149995748157394,0.02330995304042944,-0.16328177692157286,AOC1
0.2532203393823919,-0.013239652136528156,3.548149362583393,0.0004223117602351337,0.02330995304042944,-0.16498601812577274,GPR158
-0.5418583962179168,-0.02633379082162115,-3.5269645010461437,0.00045673608537746536,0.02472523231418394,-0.234368170986186,SERPINE1
-0.3928411936021641,0.011738504804989204,-3.513053207215108,0.00048075106691467564,0.02553423119556249,-0.2797136860352891,ADGRD1
-0.4947574666688893,-0.002554012059063645,-3.4938271259416673,0.0005158894712947302,0.02689312706841973,-0.34210247117634385,CXCL11
-0.40680239347944325,0.03195851905679334,-3.469852493522198,0.0005630708751153258,0.028703792112110212,-0.4194433109715838,LEFTY2
-0.3377744481588804,0.08574445306544978,-3.466000668598583,0.0005710168235446436,0.028703792112110212,-0.4318217584111155,LAG3
-0.3977947759693585,-0.042383936600637516,-3.44816816942229,0.0006091869150665974,0.03000811278159761,-0.4889584598219159,MYOC
-0.31488423117292896,0.001708484474167101,-3.4440721519394883,0.0006182843841323841,0.03000811278159761,-0.5020427163936283,TUBB3
-0.5026897831151804,0.043488785461116265,-3.438603207046751,0.0006306289097144526,0.030088481031291255,-0.5194895025468034,KIR2DL2
-0.2170506736321785,-0.014753565209199803,-3.4216448829742467,0.0006703847741017382,0.031007467138447303,-0.573420974433728,CYTL1
-0.3314289065052182,0.020774315755911127,-3.419393603067796,0.0006758348226786012,0.031007467138447303,-0.58056144106056,SPAG1
-0.4109372835801282,0.027894434586718968,-3.4134855144242935,0.0006903345890196436,0.031007467138447303,-0.5992790048469416,PLB1
-0.3275403340136039,0.11266965527364951,-3.4120302309316055,0.0006939504190842558,0.031007467138447303,-0.6038847814476531,NMI
-0.2859093642702064,-0.009253536363201113,-3.406126121402822,0.0007088017361837061,0.031176201364955202,-0.6225512567299543,GNAS
-0.43565142252961025,-0.17056290944383543,-3.3771481578231946,0.0007860841467471946,0.03400891835933498,-0.7137204440505283,MAN2B2
-0.27223250845400426,-0.03282019370373529,-3.3731413651005577,0.0007973671800057225,0.03400891835933498,-0.7262678643035629,ITGB6
-0.6547035062565242,0.14333498195417585,-3.3657532790231635,0.0008185679995873315,0.03428544793445383,-0.7493665993541168,CXCL1
-0.2418990013467781,0.059709131652287126,-3.359202413909861,0.0008378038472368174,0.03428544793445383,-0.7698072757605088,CPVL
-0.3482855117042643,-0.005789535773440693,-3.3583326112693874,0.0008403893099386552,0.03428544793445383,-0.7725184591432175,MIA
-0.4147262326192594,0.055811310446245065,-3.337959742004566,0.0009031113510558244,0.036255991486377835,-0.8358288324759995,CCL25
-0.4343730313455545,0.05853362079553743,-3.334418005112676,0.0009144495188393699,0.036255991486377835,-0.8467974713620539,CXCL10
0.6279333015319629,0.2548811224346949,3.3302089766244323,0.0009280958652424754,0.03628597028691067,-0.8598182017197145,GFOD2
-0.45339404747913015,-0.05774277749264734,-3.3205069559052522,0.0009602753249335508,0.03702979506421843,-0.8897716832144988,CCDC134
-0.48660310612011676,-0.012596890896386385,-3.303765912563,0.0010182496559997024,0.03850669615277849,-0.9412603330786791,SPARC
-0.5321180697480776,0.19751515052548604,-3.301613917056579,0.0010259332900385033,0.03850669615277849,-0.9478609229482107,SUOX
-0.18231507881841086,0.009004612347433456,-3.2767394676140666,0.0011187390887395555,0.041112529054042946,-1.023856684830677,NFASC
-0.2239903038986893,0.029146467962065072,-3.272345141140899,0.0011359218614105829,0.041112529054042946,-1.0372248830772621,PEPD
-0.1561168155192486,-0.015379871050837013,-3.271520158998118,0.0011391748725454172,0.041112529054042946,-1.0397326853522761,LAMP1
