| independent_var                                                                     | dependent_var                           |         rho |     p_value |   sample_size_N |      FDR |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.219382   | 0.205428    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.0409841  | 0.815173    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.0417199  | 0.811914    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.169809   | 0.329449    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.0731272  | 0.676331    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            | -0.219382   | 0.205428    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.0215716  | 0.902108    |              35 | 0.994534 |
| Early Second Trimester_activities_-_summary_-_caloriesout                           | gest_age_del                            | -0.0874685  | 0.617331    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.0302563  | 0.863015    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.140471   | 0.420901    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.101236   | 0.562819    |              35 | 0.99086  |
|                                                                                     | nicu_days                               | -0.135847   | 0.436503    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0679236  | 0.698241    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.207194   | 0.232372    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.140517   | 0.420748    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.0417199  | 0.811914    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.118866   | 0.496441    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.0487515  | 0.780929    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            | -0.0243757  | 0.889456    |              35 | 0.994534 |
| Early Second Trimester_activities_-_summary_-_fairlyactiveminutes                   | gest_age_del                            |  0.027622   | 0.874844    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.133309   | 0.445202    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.184434   | 0.288857    |              35 | 0.99086  |
|                                                                                     | nicu_days                               | -0.186842   | 0.282496    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.203828   | 0.240216    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse | -0.0609564  | 0.727953    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.0834632  | 0.633593    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.237799   | 0.168954    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.158487   | 0.363174    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.207252   | 0.232238    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.0163934  | 0.925531    |              35 | 0.994534 |
|                                                                                     | accelerated_villous_maturation          | -0.011713   | 0.946756    |              35 | 0.994534 |
| Early Second Trimester_activities_-_summary_-_lightlyactiveminutes                  | gest_age_del                            |  0.0791982  | 0.651097    |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.0726993  | 0.678124    |              35 | 0.99086  |
